,numero_convenio,processo_gdf,valor_convenio,unidade_orcamentaria,programa_trabalho,natureza_despesa,nota_empenho,data_assinatura_convenio,text,labels,valor_contrato
0,,,,,,,,,"EXTRATO DE CONVENIO ( 1o TERMO ADITIVO ) Processo : 001.000.845/2019 . Convenio no 001/2019 - PG / CLDF . Firmado entre a Camara Legislativa do Distrito Federal , ( Contratante ) e a empresa Companhia Urbanizadora da Nova Capital do Brasil , denominada NOVACAP , ( Contratada ) . Objeto : Prorrogacao da vigencia do Convenio no 001/2019 pelo periodo de 12 meses . Vigencia : 01/01/2020 a 31/12/2020 . Legislacao : Lei 8.666/93 , Partes : Pela Contratante , MARLON CARVALHO CAMBRAIA - Secretario-Geral , e , pela Contratada , CANDIDO TELES DE ARAUJO - Diretor Presidente e FRANCISCO DAS CHAGAS LIMA RAMOS - Diretor de Edificacoes . ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
1,002/2018-SES,24 (,"915.500,00",23901,,332039,,10128600240880021,"EXTRATOS DE CONVENIOS Especie : Convenio n 002/ 2018-SES / DF . Convenentes : DISTRITO FEDERAL , por inter- medio de sua SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL e a FUNDACAO OSWALDO CRUZ doravante denominada FIOCRUZ , inscrita no CNPJ / MF sob o no 33.781.055/ 0001-35 , vinculada ao Ministerio da Saude , por meio ESCOLA NA- CIONAL DE SAUDE PUBLICA SERGIO AROUCA , doravante denominada FIO- CRUZ / ENSP . Objeto : O presente convenio tem por objetivo formar especialistas em ava- liacao em saude por meio da realizacao do Curso "" Especializacao em Avaliacao em Saude "" , na modalidade a Distancia tendo como foco as politicas ( planos , programas , projetos e acoes ) , os servicos ( estruturas , processos e resultados ) e as redes de atencao a saude , voltado para profissionais de nivel superior , prioritariamente para os servidores da Secretaria de Estado de Saude do Distrito Federal e as remanescentes para profissionais que atuem na Secretaria de Estado de Planejamento , Orcamento e Gestao do Distrito Federal . Vigencia : O presente Convenio vigera a partir de sua data de assinatura , pelo periodo de 24 ( vinte e quatro ) meses , podendo ser prorrogado por meio de termo aditivo , apos analise tecnica de acordo com o interesse dos participes ; O Convenio podera ser alterado a qualquer tempo , mediante assinatura de termo aditivo , desde que nao seja modificado seu objeto , devendo a solicitacao ser encaminhada com antecedencia minima de 60 ( sessenta ) dias da data de termino da execucao do Convenio . Valor : Para o cumprimento das metas estabelecidas neste Convenio , foi estabelecido o valor de R$ 915.500,00 ( novecentos e quinze mil e quinhentos reais ) , a ser transferido para a FUNDACAO OSWALDO CRUZ/ ESCOLA NACIONAL DE SAUDE PUBLICA SERGIO AROUCA ( FIOCRUZ / ENSP ) , de acordo com o cronograma de Desembolso fixado no Plano de Trabalho / Projeto Basico . Dotacao Orcamentaria : Unidade Orcamentaria : 23901 . Unidade Gestora : 170101 . Gestao : 17901 . Programa de Tr a b a l h o : 10128600240880021 . Natureza da Despesa : 332039 . Fonte de Recurso : 100000000 . Despesa de Publicacao : A publicacao do presente instrumento sera providenciada pela SES / DF , em extrato no Diario Oficial do Distrito Federal e pela FIOCRUZ / ENSP no Diario Oficial da Uniao , as suas expensas , ate o 5o ( quinto ) dia util do mes seguinte ao de sua assinatura , devendo esta ocorrer no prazo de 20 ( vinte ) dias a contar daquela data . Do Plano de Trabalho / Do Projeto Basico : Integra este Instrumento , independentemente de transcricao , o Projeto Basico / Plano de Trabalho , elaborado e aprovado de comum acordo entre as partes , ",O O O O O O O B-numero_convenio I-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-unidade_orcamentaria O O O O O O O O O O O O O O O O O O O O B-data_assinatura_convenio O O O O O B-natureza_despesa O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
2,003/2018-SES,00060-00220965/2017-50,"788.070,81",23901,,332039,,10128600240880021,"Especie : Convenio n 003/ 2018-SES / DF . Convenentes : DISTRITO FEDERAL , por inter- medio de sua SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL e a FUNDACAO OSWALDO CRUZ doravante denominada FIOCRUZ , inscrita no CNPJ / MF sob o no 33.781.055/ 0001-35 , vinculada ao Ministerio da Saude , por meio ESCOLA NA- CIONAL DE SAUDE PUBLICA SERGIO AROUCA , doravante denominada FIO- CRUZ / ENSP . Objeto : O presente convenio tem por objeto a formacao de mestres em avaliacao em saude por meio da realizacao do Curso "" Mestrado Profissional em Avaliacao em Saude "" , na modalidade presencial tendo como foco as politicas , programas , projetos e acoes , os servicos e as redes de atencao a saude . Vigencia : O presente Convenio vigera a partir de sua data de assinatura , pelo periodo de 30 ( trinta ) meses , podendo ser prorrogado por meio de termo aditivo , apos analise tecnica de acordo com o interesse dos participes ; O Convenio podera ser alterado a qualquer tempo , mediante assinatura de termo aditivo , desde que nao seja modificado seu objeto , devendo a solicitacao ser encaminhada com ante- cedencia minima de 60 ( sessenta ) dias da data de termino da execucao do Convenio . Valor : Para o cumprimento das metas estabelecidas neste Convenio , foi estabelecido o valor de R$ 788.070,81 ( setecentos e oitenta e oito mil e setenta reais e oitenta e um centavos ) , a ser transferido para a FUNDACAO OSWALDO CRUZ/ ESCOLA NACIONAL DE SAUDE PUBLICA SERGIO AROUCA ( FIOCRUZ / ENSP ) , de acordo com o cronograma de De- sembolso fixado no Plano de Trabalho / Projeto Basico . Dotacao Orcamentaria : Unidade Orcamentaria : 23901 . Unidade Gestora : 170101 . Gestao : 17901 . Programa de Tr a b a l h o : 10128600240880021 . Natureza da Despesa : 332039 . Fonte de Recurso : 100000000 . Despesa de Publicacao : A publicacao do presente instrumento sera providenciada pela SES / DF , em extrato no Diario Oficial do Distrito Federal e pela FIOCRUZ / ENSP no Diario Oficial da Uniao , as suas expensas , ate o 5o ( quinto ) dia util do mes seguinte ao de sua assinatura , devendo esta ocorrer no prazo de 20 ( vinte ) dias a contar daquela data . Do Plano de Trabalho / Do Projeto Basico : Integra este Instrumento , independentemente de transcricao , o Projeto Basico / Plano de Trabalho , ( 9207576 ) elaborado e aprovado de comum acordo entre as partes , concernente a execucao da finalidade descrita na Clausula do Objeto . Processo SEI no : 00060-00220965/ 2017-50 Processo Fiocruz no 25380.001551/ 2017-41 . Data de Assi- natura : 04/07/2018 . Pela SES / DF : HUMBERTO LUCENA PEREIRA DA FONSECA . Pela FIOCRUZ : HERMANO ALBUQUERQUE DE CASTRO . Testemunhas : PATRICIA SILVA ARAUJO RESENDE e ALDA SOUZA RODRIGUES . ",O O O O B-numero_convenio I-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-unidade_orcamentaria O O O O O O O O O O O O O O O O O O O O B-data_assinatura_convenio O O O O O B-natureza_despesa O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
3,,00054-00072737/2018-72,,,,,,09 de julho de 2019,"EXTRATO DE CONVENIO PROCESSO : 00054-00072737/ 2018-72 . INSTRUMENTO : Convenio . PARTES : BANCO CENTRAL DO BRASIL e o GOVERNO DO DISTRITO FEDERAL , por intermedio da POLICIA MILITAR DO DISTRITO FEDERAL , representada pelo Chefe de Departamento de Logistica e Financas . OBJETO : Cooperacao mutua entre o Concedente e a Convenente para a execucao de atividades de escolta ao transporte de valores , e desenvolvimento , operacionalizacao e aperfeicoamento de um sistema de policiamento ostensivo e especializado e de seguranca estrategica nas areas publicas adjacentes ao Edificio-Sede e nos estacionamentos do Concedente . VIGENCIA : 60 ( sessenta ) meses , compreendidos no periodo de 15 de julho de 2019 a 15 de julho de 2024 . DATA DA ASSINATURA : 09 de julho de 2019 . SIGNATARIOS : Pelo BACEN , Lidia Aparecida Cury Reiss - Chefe do Departamento de Seguranca - DESEG / BACEN ; Pela PMDF , CEL QOPM Stefano Enes Lobao - Chefe do Departamento de Logistica e Financas da PMDF . ",O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
4,06/2019-SES,00064-00004190/2018-45,,,,,,,"EXTRATO DE CONVENIO ESPECIE : CONVENIO No 06/ 2019-SES / DF . PARTICIPES : a Secretaria de Estado de Saude ( SES- DF ) , a Fundacao de Ensino e Pesquisa em Ciencias da Saude e a ACAO EDUCACIONAL CLARETIANA , mantenedora do CENTRO UNIVERSITARIO CLARETIANO . OBJETO : concessao de area para realizacao de estagio curricular e Atividades Praticas Supervisionadas nas estruturas organicas da SES-DF e entidades vinculadas , por alunos regularmente matriculados e que estejam frequentando , efetivamente , o curso de Enfermagem ( EAD ) - Polo Taguatinga , para o ensino , assistencia e pesquisa , com vistas a melhoria das condicoes de saude da populacao e ao desenvolvimento tecnico-cientifico . PROCEDIMENTO : o Convenio obedece as diretrizes da Lei no 5.373 , de 12 de agosto de 2014 , e as Portarias SES-DF no 293 , de 31 de outubro de 2013 , no 45/2009 , no 252/2014 , no 245/2013 e da Lei8.666/93 . DA CONTRIBUICAO / CONTRAPARTIDA : a instituicao de Ensino contribuira na forma de contrapartida com a melhoria no atendimento aos usuarios SUS , sendo definido ao final de cada semestre letivo o valor devido , formalizado mediante apostilamento , e subscrito pelas partes . DA VIGENCIA : 60(sessenta ) meses , a partir da assinatura . ASSINATURA : 29/05/2019 . Processo : 00064-00004190/ 2018-45 - SEI-GDF -FEPECS . Assinam : pela SES / DF e FEPECS : OSNEI OKUMOTO . Pela ACAO EDUCACIONAL CLARETIANA : LUIZ CLAUDEMIR BOTTEON . ",O O O O O O O B-numero_convenio I-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O ,
5,,00072.00001907/2018-16,,,,,,,"EXTRATO DE TERMO DE CONVENIO DE ESTAGIO Processo SEI no 00072.00001907/ 2018-16 . Instrumento : Convenio no 001/201 8 - G C O N V. Partes : EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO DISTRITO FEDERAL - EMATER-DF e a FACULDADES INTEGRADAS DA UNIAO EDUCA- CIONAL DO PLANALTO CENTRAL- FACIPLAC . Objeto : Propiciar estagios curriculares e extracurriculares aos estudantes de Nivel Superior , visando a conclusao dos cursos de Graduacao oferecidos pela instituicao de ensino . Assinatura : 30/04/2018 . Vi g e n - cia : 0/04/2023 . Signatarios : P / EMATER-DF-Roberto Guimaraes Carneiro . P / FA C I P L A C : Walter Paulo Filho- Diretor Geral . ",O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
6,10.12.2018,32.8362018-e,"0,00",,,,,,"EXTRATO DE CONVENIO CELEBRADO EM 10.12.2018 Convenente : Tribunal de Contas do Distrito Federal - CNPJ no 00.534.560/ 0001-26 - Instituicao Conveniada : BANCO BRADESCO S.A. - CNPJ no : 60.746.948/ 0001-12 - Objeto : consignacao em folha de pagamento dos membros e servidores , ativos e inativos e dos pensionistas do CONVENENTE com vistas a disponibilizacao de linha de emprestimo pessoal - Processo TCDF no 32. 8362018-e - Fundamento Legal : Resolucao no 199/2009 , alterada pelas Resolucoes no 210/2010 e 247/2012 do TCDF - Vigencia e Execucao : de 10/12/2018 a 09/12/2023 - Valor : R$ 0,00 ( zero reais ) - Data da assinatura : 10/12/2018 - Assinam : pelo TCDF , PAULO CAVALCANTI DE OLIVEIRA e , pelo BANCO BRADESCO S.A , JOAO SEGUNDO DA COSTA NETO e MICHELLE DE MELLO SOUZA DUARTE . ",O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
7,01/2021,00063-00002120/2019-61,,,,,,11 de agosto de 2021,"EXTRATO DE CONVÊNIO Nº 01/2021 Convenente : FUNDAÇÃO HEMOCENTRO DE BRASÍLIA - CNPJ nº 86.743.457/ 0001-01 , Conveniada : HOSPITAL UNIVERSITÁRIO DE BRASÍLIA - EBSERH - CNPJ nº 15.126.437/ 0003-05 . Objeto : Suporte hemoterápico pela FHB à FUC para realização de transplantes de Células Progenitoras Hematopoiéticas - CPH ( medula óssea e sangue periférico ) a pacientes do Sistema Único de Saúde . Processo 00063-00002120/ 2019-61 . Vigência : 12 ( doze ) meses a contar da data de sua assinatura . Assinam , em 11 de agosto de 2021 , pelo : BÁRBARA DE JESUS SIMÕES , Presidente , e pela Conveniada : ELZA FERREIRA NORONHA , RODOLFO BORGES DE LIRA e FLÁVIA DIAS XAVIER . ",O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O B-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
8,,00431-00017207/2020-50,"515.000,00",,,333041,2020NE800056,19 de dezembro de 2023,"EXTRATO DE CONVÊNIO PLATAFORMA + BRASIL Nº 905437/2020 Processo : 00431-00017207/ 2020-50 . ESPÉCIE : Convênio Federal nº 905437/2020 , celebrado entre a União , por meio do Ministério da Cidadania , CNPJ nº 05.526.783/ 0001-65 , e a Secretaria de Estado de Desenvolvimento Social do Distrito Federal - SEDES / DF , CNPJ nº 04.251.080/ 0001-09 . OBJETO : O presente Convênio tem por objeto qualificar a execução da Política Nacional de SAN no Distrito Federal e fortalecer a gestão estadual do SISAN . VALOR GLOBAL : R$ 515.000,00 ( quinhentos e quinze mil reais ) , sendo R$ 500.000,00 ( quinhentos mil reais ) da Concedente e R$ 15.000,00 ( quinze mil reais ) , a título de Contrapartida , da Convenente . O valor da Concedente , autorizado pela Lei nº 13.978 , de 17 de janeiro de 2020 , publicada no Diário Oficial da União de 20 de janeiro de 2020 , UG 550008 , assegurado pelas Notas de Empenho nº 2020NE800056 , 2020NE800058 e 2020NE800080 , vinculadas aos Programas de Trabalho nº 08.306.5033.2784.0001 - Promoção do Consumo de Alimentos Adequados e Saudáveis e nº 08.306.5033.215I.0001 - Consolidação da Implantação do Sistema Nacional de Segurança Alimentar e Nutricional ( SISAN ) , PTRES 174595 , 174594 e 191315 , respectivamente , à conta de recursos oriundos do Tesouro Nacional , Fonte de Recursos 0151 , Natureza da Despesa 333041 e 443041 ; e o valor da contrapartida do Convenente , consignados na Lei nº 6.490 , de 29 de janeiro de 2020 , do Governo do Distrito Federal . VIGÊNCIA : Este Termo de Convênio vigorará , a partir da data de sua assinatura , até 19 de dezembro de 2023 . DATA DA ASSINATURA : 24/12/2020 . SIGNATÁRIOS : Pelo Concedente : ÊNIO ANTÔNIO MARQUES PEREIRA , Secretário Nacional de Inclusão Social e Produtiva ; Pela Convenente : MAYARA NORONHA DE ALBUQUERQUE , Secretária de Estado de Desenvolvimento Social do Distrito Federal . ",O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-nota_empenho O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-natureza_despesa O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio I-data_assinatura_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
9,14/07/2021,00600-00005818/2021-83,"0,00",,,,,,"EXTRATO DE CONVÊNIO CELEBRADO EM 14/07/2021 Convenente : Tribunal de Contas do Distrito Federal CNPJ nº 00.534.560/ 0001-26 - Instituição Conveniada : ELO ADMINISTRADORA DE BENEFÍCIOS LTDA . CNPJ nº 13.122.792/ 0001-19 - Objeto : consignação em folha de pagamento dos membros e servidores , ativos e inativos , e dos pensionistas do CONVENENTE , com vistas à disponibilização de seguro-saúde Processo TCDF nº 00600-00005818/ 2021-83 Fundamento Legal : Resolução nº 199/2009 do TCDF e alterações - Vigência e Execução : de 14/07/2021 a 13/07/2026 Valor : R$ 0,00 ( zero reais ) Data da assinatura : 14/07/2021 Assinam : pelo TCDF , Paulo Cavalcanti de Oliveira ; e , pela ELO , Paula Scafuto Rocha Mello Fernandes . ",O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
10,06/10/2021,,,,,,,Processo 041.001.171/2021,"EXTRATO DE CONVÊNIO Objeto : Acordo para celebração de convênio de consignação para concessão de empréstimo sob consignação em folha de pagamento , entre a Prefeitura de Formosa e o BRB Banco de Brasília S / A. Vigência : 06/10/2021 a 05/10/2026 . Assinatura do Termo pela Convenente : Gustavo Marques de Oliveira , Prefeito de Formosa . Signatário pelo BRB : Dario Oswaldo Garcia Júnior , Diretor Executivo de Varejo . Executor : Bruna Gomes de Araújo . Processo 041.001.171/2021 . ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-data_assinatura_convenio I-data_assinatura_convenio O ,
11,20/07/2021,,"0,00",,,,,,"EXTRATO DE CONVÊNIO CELEBRADO EM 20/07/2021 Convenente : Tribunal de Contas do Distrito Federal CNPJ nº 00.534.560/ 0001-26 Instituição Conveniada : ZURICH MINAS BRASIL SEGUROS S.A .. CNPJ nº 17.197.385/ 0001-21 - Objeto : consignação em folha de pagamento dos membros e servidores , ativos e inativos , e dos pensionistas do CONVENENTE , com vistas à disponibilização de seguro no ramo de Vida , Danos e Pessoas , nas modalidades Pecúlio e Renda Processo TCDF nº 14/1999 Fundamento Legal : Resolução nº 199/2009 do TCDF e alterações - Vigência e Execução : de 20/07/2021 a 19/07/2026 Valor : R$ 0,00 ( zero reais ) Data da assinatura : 20/07/2021 Assinam : pelo TCDF , Paulo Cavalcanti de Oliveira ; e , pela ZURICH MINAS BRASIL , Walter Eduardo Pereira e Márcio Benevides Xavier . ",O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
