,numero_convenio,processo_gdf,valor_convenio,unidade_orcamentaria,programa_trabalho,natureza_despesa,nota_empenho,data_assinatura_convenio,text,labels,valor_contrato
12,27/10/2021,,"0,00",,,,,,"EXTRATO DE CONVÊNIO CELEBRADO EM 27/10/2021 Convenente : Tribunal de Contas do Distrito Federal CNPJ nº 00.534.560/ 0001-26 - Instituição Conveniada : KOVR PREVIDÊNCIA S.A. CNPJ nº 17.479.056/ 0001-73 - Objeto : disponibilização de linha de planos previdenciários e de planos de seguros mediante consignação em folha de pagamento aos membros , servidores ativos , inativos e aos pensionistas do CONVENENTE Processo TCDF nº 24562/2008 Fundamento Legal : Resolução nº 199/2009 do TCDF e alterações - Vigência e Execução : de 27/10/2021 a 26/10/2026 Valor : R$ 0,00 ( zero reais ) Data da assinatura : 27/10/2021 Assinam : pelo Convenente , Paulo Cavalcanti de Oliveira ; e , pela Instituição Conveniada , Geraldo Henrique de Castro . ",O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
13,01/2021,00121.00000374/2021-19,"200.000,00",,04.122.6203.9107.0098 (,33.50.41.02,,,"EXTRATO DO CONVÊNIO Nº 01/2021 Extrato do Convênio nº 01/2021 , de mútua cooperação para pesquisa , desenvolvimento e inovação - PDI que entre si celebram a Companhia de Planejamento do Distrito Federal - CODEPLAN , a Fundação Oswaldo Cruz - Fiocruz , por intermédio da Gerência Regional de Brasília e a Fundação para o Desenvolvimento Científico e Tecnológico em Saúde - FIOTEC . Processo 00121.00000374/ 2021-19 . Objeto : O presente Convênio em PDI tem por objeto a criação de uma Rede de Inteligência Cooperativa voltada para o monitoramento e avaliação de vulnerabilidades sociais e territoriais relacionadas direta ou indiretamente à COVID-19 . Programa de Trabalho : 04.122.6203.9107.0098 ( transferência financeira a entidades - apoio a entidades para realização de pesquisas sócioeconômica ) , Fonte : 100 , Natureza de Despesa : 33.50.41.02 . Valor Reservado : R$ 200.000,00 ( duzentos mil reais ) , proveniente de emenda parlamentar . Vigência : O presente Convênio terá vigência de 24 ( vinte e quatro ) meses , a partir da data da assinatura , podendo ser prorrogado por acordo entre os participes . Data das Assinaturas : XX / XX/2021 . Pela CODEPLAN : JEANSLEY CHARLLES DE LIMA , Presidente e RENATA FLORENTINO DE FARIA SANTOS , Diretora de Estudos Urbanos e Ambientais - DEURA . Pela FIOCRUZ : MARIA FABIANA DAMÁSIO PASSOS , Diretora da Gerência Regional de Brasília , e pela FIOTEC : HAYNE FELIPE DA SILVA , Diretor Executivo . ",O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-programa_trabalho I-programa_trabalho O O O O O O O O O O O O O O O O O O O O O O O B-natureza_despesa O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
14,06/2021,04011-00002582/2020-33,,,,,,,"EXTRATO DO TERMO DE CONVÊNIO Nº 06/2021 Processo : 04011-00002582/ 2020-33 . PARTES : O DISTRITO FEDERAL , por meio da SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL , CNPJ nº 15.169.975/ 0001-15 , e a Instituição de Ensino CENTRO UNIVERSITÁRIO DE BRASÍLIA - UniCEUB , CNPJ nº 00.059.857/ 0001-87 . OBJETO : colaboração de estagiários vinculados ao UniCEUB em programa obrigatório de Estágio Curricular Supervisionado de Estudante de Psicologia , a partir do 9º semestre . Vigência : O contrato terá vigência de 12 ( dose ) meses , a partir de sua assinatura , prorrogáveis por iguais e sucessivos períodos , até o limite de 60 ( sessenta ) meses . Da Assinatura : 31/08/2021 . SIGNATÁRIOS : pela Concedente : VANDERCY ANTONIA DE CAMARGOS , na qualidade de Secretária Executiva ; pela Convenente : GETÚLIO AMÉRICO MOREIRA LOPES , na qualidade Diretor Presidente e EDEVALDO ALVES DA SILVA , na qualidade de Diretor Superintendente . ",O O O O O O B-numero_convenio O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
15,,00400-00022420/2021-02,,,,,,,"EXTRATO DE TERMO DE CONVÊNIO DE ESTÁGIO Processo : 00400-00022420/ 2021-02 DAS PARTES : DISTRITO FEDERAL , através da Secretaria de Estado de Justiça e Cidadania e a União Brasileira de Educação Católica . CLÁUSULA PRIMEIRA - DO OBJETO : O Termo de Convênio de Estágio tem por objetivo garantir a oferta de campo de Estágio Curricular Obrigatório que proporcionem a elaboração e execução de ações conjuntas , que beneficiem estudantes e profissionais da universidade e adolescentes e profissionais do sistema socioeducativo . CLÁUSULA SEGUNDA - DO PÚBLICO-ALVO : Estudantes e profissionais vinculados aos cursos de graduação e pós-graduação da União Brasileira de Educação Católica , bem como adolescentes e profissionais do sistema socioeducativo do Distrito Federal como beneficiários indiretos . CLÁUSULA TERCEIRA - DO OBJETIVO GERAL : Estabelecer parceria entre a Secretaria de Estado de Justiça e Cidadania - Sejus e a União Brasileira de Educação Católica para implementação de ações conjuntas que assegurem o desenvolvimento e compartilhamento de estudos , pesquisas , projetos de extensão ; a realização de estágios curriculares supervisionados obrigatórios e a produção técnica de interesse comum . CLÁUSULA OITAVA DA DURAÇÃO E DA CARGA HORÁRIA DO ESTÁGIO : A carga horária , a duração e a jornada do estágio será de no mínimo 03h ( três ) e no máximo 06h ( seis ) horas diárias , não excedendo a carga horária semanal de 30 horas . PARÁGRAFO PRIMEIRO : A Sejus deverá oferecer condições para que os estagiários possam cumprir suas obrigações , sem prejuízo das atividades acadêmicas . CLÁUSULA DÉCIMA SEGUNDA DO VÍNCULO : O estagiário não terá vínculo empregatício de qualquer natureza com a Sejus e a União Brasileira de Educação Católica . CLÁUSULA DÉCIMA QUARTA DO PRAZO DA VIGÊNCIA : Vigência de 60 meses , contados a partir da data da sua assinatura , e que após essa data caso haja interesse de ambos na sua continuidade , poderá ser providenciado um novo ajuste , observada a legislação vigente . DATA DA ASSINATURA : 15/12/2021 . SIGNATÁRIOS : p / Secretaria de Estado de Justiça e Cidadania : JAIME SANTANA DE SOUSA ; p/ União Brasileira de Educação Católica : LEANDRO GENOINO CERUTTI , RICARDO PEREIRA CALEGARI e ADRIANA PELIZZARI . ",O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
16,02/2021,04010-00000027/2021-86,,40.101 U.G: 650.101,14.243.6211.9078.0051,33.50.43,2021NE00329,,"EXTRATO DE CONVÊNIO Nº 02/2021 Processo : 04010-00000027/ 2021-86 . Das Partes : O DISTRITO FEDERAL , por meio da SECRETARIA DE ESTADO DE JUVENTUDE DO DISTRITO FEDERAL , e o SERVIÇO SOCIAL DA INDÚSTRIA DEPARTAMENTO REGIONAL DO DISTRITO FEDERAL , doravante denominada SESI / DR / DF ou CONVENENTE , Inscrito no CNPJ sob o 03.803.317/ 0001-54 . Do Objeto : A Implementação do Projeto Mais que Vencedor , capacitação dos jovens de 15 a 29 anos , estudantes da 1ª , 2ª e 3ª série do Ensino Médio ou egressos do Ensino Médio . Que vão prestar o Exame Nacional do Ensino Médio ( ENEM ) e Programa de Avaliação Seriada PAS e Vestibulares Tradicionais . O valor global dos recursos públicos da parceria é de R$ 4.248.177,58 ( quatro milhões , duzentos e quarenta e oito mil cento e setenta e sete reais e cinquenta e oito centavos ) . Fundamentação Legal pela Lei nº 8.666/1993 e pela IN nº 01/ 2005-CGDF . Dotação Orçamentária : Unidade Orçamentária - U.O : 40.101 U.G : 650.101 ; Gestão : 00001 ; Programa de Trabalho - PT : 14.243.6211.9078.0051 . Natureza da despesa : 33.50.43 ; Fonte de recursos : 100 ; Nota de Empenho : 2021NE00329 , emitida em 29/12/2021 , sob o evento nº 400097 , modalidade Global . Vigência : 12 ( doze ) meses , a partir da data de sua publicação no Diário Oficial do Distrito Federal . Data de Assinatura do Termo : 30/12/2021 ; Signatários : Pelo Distrito Federal , LUANA DE LIMA MACHADO , na qualidade de Secretária de Estado de Juventude e pela Contratada o Sr. JAMAL JORGE BITTAR , na qualidade de Diretor Regional , e o Sr. MARCO ANTONIO AREIAS SECCO , na qualidade de Superintendente . ",O O O O B-numero_convenio O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-unidade_orcamentaria I-unidade_orcamentaria B-unidade_orcamentaria I-unidade_orcamentaria I-unidade_orcamentaria I-unidade_orcamentaria O O O O O O O O O O B-programa_trabalho B-programa_trabalho O O O O O B-natureza_despesa O O O O O O O O O O O B-nota_empenho O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
17,03/2021,04010-00000026/2021-31,,40.101 U.G: 650.101,14.243.6211.9078.0052,33.50.43,2021NE325,,"EXTRATO DE CONVÊNIO Nº 03/2021 Processo : 04010-00000026/ 2021-31 . Das Partes : O DISTRITO FEDERAL , por meio da SECRETARIA DE ESTADO DE JUVENTUDE DO DISTRITO FEDERAL , e o SERVIÇO DE APOIO ÀS MICRO E PEQUENAS EMPRESAS SEBRAE / DF , Inscrito no CNPJ sob o 00.438.200/ 0001-20 . Do Objeto : A Implementação do "" Empreendedor do Futuro "" , que visa apresentar o empreendedorismo como alternativa real e transformadora do futuro dos jovens do Distrito Federal por meio de capacitação híbrida de jovens de 15 a 29 anos , estudantes de escolas públicas do Distrito Federal , prioritariamente através do Ensino Médio em Tempo Integral - EMTI , com conteúdo de empreendedorismo e desenvolvimento de competências correlatas e estímulo à experiência prática de elaboração de projetos dos estudantes sobre modelos e/ou planos de negócios , por meio de repasse de recursos ao SEBRAE / DF . O valor global dos recursos públicos da parceria é de R$ 1.485.000,00 ( um milhão , quatrocentos e oitenta e cinco mil reais ) . Fundamentação Legal pela Lei nº 8.666/1993 e pela IN nº 01/ 2005-CGDF . Dotação Orçamentária : Unidade Orçamentária - U.O : 40.101 U.G : 650.101 ; Gestão : 00001 ; Programa de Trabalho - PT : 14.243.6211.9078.0052 . Natureza da despesa : 33.50.43 ; Fonte de recursos : 100 ; Nota de Empenho : 2021NE325 , emitida em 29/12/2021 , sob o evento nº 400097 , modalidade Global . Vigência : 12 ( doze ) meses , a partir da data de sua publicação no Diário Oficial do Distrito Federal . Data de Assinatura do Termo : 30/12/2021 ; Signatários : Pelo Distrito Federal , LUANA DE LIMA MACHADO , na qualidade de Secretária de Estado de Juventude e pela Contratada o Sr. ANTÔNIO VALDIR OLIVEIRA FILHO , na qualidade de Diretor Superintendente , e a Sra. ROSEMARY SOARES ANTUNES RAINHA , na qualidade de Diretora Técnica . ",O O O O B-numero_convenio O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-unidade_orcamentaria I-unidade_orcamentaria B-unidade_orcamentaria I-unidade_orcamentaria I-unidade_orcamentaria I-unidade_orcamentaria O O O O O O O O O O B-programa_trabalho B-programa_trabalho O O O O O B-natureza_despesa O O O O O O O O O O O B-nota_empenho O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
18,1,12585/2016-e,"0,00",,,,,,"EXTRATO DE CONVÊNIO CELEBRADO EM 1 ° /06/2021 Copaíba , Lote 01 , Torre A , 26º andar , Ed . DF Century Plaza , Águas Claras , Convenente : Tribunal de Contas do Distrito Federal - CNPJ nº 00.534.560/0001- Brasília / DF , CEP : 71. 919-900 , no dia 29 de junho de 2021 , às 10:00hs horas , em 26 Instituição Conveniada : FUNDAÇÃO HABITACIONAL DO EXÉRCITO - primeira convocação , havendo quórum , ou às 10:30hs , em segunda convocação , com FHE - CNPJ nº 00.643.742/ 0001-35 - Objeto : consignação em folha de pagamento qualquer número de acionistas presentes , para o fim de deliberarem sobre a seguinte dos pauta : 1 . Alteração do endereço da sede da companhia ; 2 . Eleição da diretoria ; 3 . membros e servidores , ativos e inativos , e dos pensionistas do CONVENENTE , com vistas à disponibilização de linha de empréstimo pessoal , Aprovação do novo quadro de acionistas . seguros automotivos e residenciais , crédito para bens duráveis , bem como serviços Brasília / DF , 10 de junho de 2021 do Consórcio Nacional POUPEX . - Processo nº 12585/ 2016-e Fundamento JONAS JAMIL LESSA LOPES Legal : Resolução nº 199 , de 12 de maio de 2009 e alterações Vigência e Diretor Presidente Execução : de 01/06/2021 a 31/05/2026 - Valor : R$ 0,00 ( zero reais ) - Data da Assinatura : 1º/06/2021 - Assinam : pelo Convenente , Paulo Cavalcanti de Oliveira ; AUTO POSTO ANDRADE LTDA e , pela Conveniada , Araken de Albuquerque . AVISO DE RECEBIMENTO DA LICENÇA / AUTORIZAÇÃO AMBIENTAL Torna público que recebeu do Instituto do Meio Ambiente e dos Recursos Hídricos do INEDITORIAL Distrito Federal - Brasília Ambiental IBRAM / DF , a Licença de operação / Autorização Ambiental nº 90/2021 , para atividade de Comércio Varejista de Combustíveis para HOSPITAL DA CRIANÇA DE BRASÍLIA JOSÉ ALENCAR CHAMAMENTO Nº 194/2021 Veículos Automotores , no Setor Centro Metropolitano Quadra 01 Conjunto A Lote 05/07 ",O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-valor_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
19,12802124,,,,,,,,"EXTRATO DE CONVÊNIO A Financeira BRB torna pública a celebração do convênio 12802124 junto a União / Justiça Federal de Primeiro Grau Seção Judiciária de Goiás . Objeto : concessão de empréstimo , com averbação das prestações decorrentes em folha de pagamento , aos servidores do órgão . O prazo de vigência deste CONVÊNIO será de 60 ( sessenta ) meses , contados a partir de sua assinatura . Signatários pela Financeira BRB : Carlos Antônio Vieira Fernandes , Presidente ; União / Justiça Federal de Primeiro Grau Seção Judiciária de Goiás : Fausto Mendanha Gonzaga , Diretor do Foro . Gestor do contrato : Lara Gaia da Silva . PAe : 0002532-82.2021.4.01.8006 SJGO . ",O O O O O O O O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
20,02/2021,00428-00002447/2019-66,,,,,,,"EXTRATO AO CONVÊNIO Nº 02/2021 Processo : 00428-00002447/ 2019-66 . PARTES : Casa Civil do Distrito Federal ( Concedente ) , Casa Militar ( Interveniente ) , Secretaria de Estado de Economia e Companhia Urbanizadora da Nova Capital do Brasil NOVACAP . OBJETO : a representação do Convênio nº 02/ 2021-CASA CIVIL ( 61368177 ) que passará a figurar a Secretaria de Estado de Economia do Distrito Federal ( SEEC ) como titular , em substituição à Casa Civil do Distrito Federal , como único órgão competente para administrar , executar , fiscalizar e prestar contas em seu nome o presente Convênio , conforme descrito no Plano de Trabalho ( 60636356)e o item 4.1 , da Cláusula Quarta , nos seguintes termos : O repasse para o plano de trabalho aprovado em curso já foi realizado , entretanto , poderão ocorrer novos ajustes desde que sejam incluídos no / de acordo com o orçamento da Secretaria de Estado de Economia . DATA DE ASSINATURA : 23/02/2022 . SIGNATÁRIOS : Pela CONCEDENTE : GUSTAVO DO VALE ROCHA , na qualidade de Secretário de Estado-Chefe da Casa Civil do Distrito Federal e ANDERSON FABRÍCIO DE ALCÂNTARA , na qualidade de Subsecretário de Compras Governamentais . Pela INTERVENIENTE : EMERSON EDUARDO ALVES DE ANDRADE - CEL QOPM , na qualidade de Chefe da Casa Militar . Pela NOVACAP : RUBENS DE OLIVEIRA PIMENTEL JÚNIOR , na qualidade de Diretor de Edificações e FERNANDO RODRIGUES FERREIRA LEITE , na qualidade de Diretor Presidente . ",O O O O B-numero_convenio O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
21,,00401-00012085/2021-06,,,,,,,"EXTRATO DO TERMO DE CONVÊNIO Processo : 00401-00012085/ 2021-06 . Partes : DEFENSORIA PÚBLICA DO DISTRITO FEDERAL /DPDF X CENTRO DE ENSINO UNIFICADO DE BRASÍLIA /CEUB . Objeto : Cooperação para viabilização de estágio obrigatório ( não remunerado ) de alunos do curso de Psicologia do CEUB na Defensoria Pública do Distrito Federal- DPDF . Valor : O presente acordo não implica transferência de recursos entre os partícipes . Vigência : 01/03/2022 a 31/12/2022 , podendo ser prorrogado por até 2 ( dois ) anos , mediante termo aditivo , assinado pelas partes . Assinatura : 15/02/2022 . Signatários : pela DPDF : MARIA JOSÉ SILVA DE SOUZA DE NÁPOLIS , Defensora Pública-Geral , e pelo CEUB : GETÚLIO AMÉRICO MOREIRA LOPES , Reitor . ",O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
22,01/2021,04028-00000087/2021-46,,,,,,,"EXTRATO DE CONVÊNIO Nº 01/2021 CEB IPES Espécie : Convênio nº 001/2021 - CEB IPES . Partes : CEB Iluminação Pública e Serviços S/A e o BRB - Banco de Brasília S / A. Processo 04028-00000087/ 2021-46 . Regido pela Lei n ° 13.303/2016 . Data da Assinatura : 02/06/2021 . Objeto : DEFINIR OS DEVERES E AS RESPONSABILIDADES DAS PARTES CONVENENTES NA OPERACIONALIZAÇÃO DE EMPRÉSTIMO A SER CONCEDIDO PELO BANCO DE BRASÍLIA - BRB AOS EMPREGADOS INTEGRANTES DO QUADRO PERMANENTE DA CEB IPES , CORRENTISTAS DO BRB , MEDIANTE CONSIGNAÇÃO EM FOLHA DE PAGAMENTO , COM O CONSEQUENTE ESTABELECIMENTO DE ROTINAS OPERACIONAIS PARA VIABILIZAR O DESCONTO DOS ENCARGOS MENSAIS RELATIVOS AOS CRÉDITOS CONCEDIDOS . Vigência : 30 ( trinta ) meses . Assinaturas : pela CEB IPES : Joel Antônio de Araújo , Fausto De Paula Menezes Bandeira e Irailson Estevão Da Silva ; pela Conveniada : Dario Oswaldo Garcia Júnior . ",O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-processo_gdf I-processo_gdf O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
23,07/02/2022,,,,,,,,"EXTRATO DE TERMO DE CONVÊNIO Convenente : Prefeitura Municipal de Luziânia . Objeto : Acordo para celebração de convênio de consignação para concessão de empréstimo sob consignação em folha de pagamento , entre a Prefeitura Municipal de Luziânia e o BRB Banco de Brasília S/A Vigência : 07/02/2022 à 06/02/2027.Pelo BRB : Dario Oswaldo Garcia Júnior , Diretor Executivo de Varejo e pela Convenente : Diego Vaz Sorgatto , Prefeito do Município de Luziânia . Processo 041.000.282/2021 . Bruna Gomes de Araújo - Gerente de Área . ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-numero_convenio O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O ,
